,date,species,bands,sx,sy
1,6/12/2018,EAME,YR-SD,712553,4330143
2,7/8/2018,EAME,DA-DS,711046,4328581
3,5/11/2019,EAME,SB-KW,711779,4329290
4,5/11/2019,EAME,SR-GD,711713,4329308
5,5/11/2019,EAME,OS-YK,711883,4329431
6,5/11/2019,EAME,WS-WW,712043,4329392
7,5/13/2019,EAME,OG-YS,711236,4330180
8,5/20/2019,EAME,AA-SK,711531,4328994
9,5/23/2019,EAME,YS-YY,712393,4329687
10,6/1/2019,EAME,BA-KS,712026,4329391
11,6/1/2019,EAME,SD-KO,712026,4329391
12,6/1/2019,EAME,BB-WS,711868,4329490
13,6/1/2019,EAME,SG-KK,711868,4329490
14,6/3/2019,EAME,YR-SD,712467,4330116
15,6/3/2019,EAME,GS-WB,712538,4330207
16,6/3/2019,EAME,SB-YB,712467,4330116
17,6/4/2019,EAME,SW-AG,711001,4330649
18,6/6/2019,EAME,SK-BD,711152,4328903
19,6/7/2019,EAME,SW-AG,710979,4330623
20,6/7/2019,EAME,SW-AG,711007,4330624
21,6/7/2019,EAME,SW-AG,710994,4330634
22,6/10/2019,EAME,AK-SW,710783,4330657
23,6/10/2019,EAME,SR-YG,710758,4330848
24,6/11/2019,EAME,BS-GY,711424,4328621
25,6/12/2019,EAME,AW-SG,711572,4329595
26,6/12/2019,EAME,SB-KO,712045,4329382
27,6/13/2019,EAME,AY-KS,711838,4329766
28,6/13/2019,EAME,SO-DY,711801,4329710
29,6/13/2019,EAME,SO-BR,711633,4329902
30,6/13/2019,EAME,AS-WD,712302,4329598
31,6/17/2019,EAME,DS-KO,711693,4328498
32,6/19/2019,EAME,AS-WK,712471,4329592
33,6/21/2019,EAME,YR-SD,712494,4330106
34,6/21/2019,EAME,YR-SD,712452,4330113
35,6/21/2019,EAME,YR-SD,712478,4330177
36,6/25/2019,EAME,BB-PS,712383,4328910
37,6/26/2019,EAME,RO-SK,711059,4329002
38,6/26/2019,EAME,BA-SK,711008,4329226
39,6/29/2019,EAME,SD-OY,710664,4328639
40,7/1/2019,EAME,KS-BK,713282,4334434
41,7/8/2019,EAME,BS-BB,711046,4328581
42,7/8/2019,EAME,GY-OS,711046,4328581
43,7/9/2019,EAME,SA-AA,713675,4335093
44,7/9/2019,EAME,YS-YY,712370,4329610
45,7/11/2019,EAME,GS-YY,711802,4329313
46,7/13/2019,EAME,GO-SY,711418,4328894
