,date,species,bands,sx,sy,time
162,5/24/2021,GRSP,SB-KW,706494,4329682,2610
165,5/24/2021,GRSP,SB-KW,706495,4329625,2610
160,5/24/2021,GRSP,SB-KW,706517,4329661,2610
123,5/19/2021,GRSP,YW-PS,706535,4329213,2605
121,5/19/2021,GRSP,GS-OW,706538,4329400,2605
118,5/19/2021,GRSP,DP-KS,706545,4329496,2605
120,5/19/2021,GRSP,GS-BP,706594,4329728,2605
106,5/19/2021,GRSP,SB-KW,706594,4329728,2605
673,7/1/2021,GRSP,GS-WP,706656,4329760,2648
770,7/13/2021,GRSP,GS-BP,706671,4329711,2660
675,7/1/2021,GRSP,GS-WP,706677,4329782,2648
906,7/23/2021,GRSP,DS-WP,706686,4329705,2670
774,7/13/2021,GRSP,GS-BP,706692,4329732,2660
563,6/21/2021,GRSP,GS-WP,706697,4329773,2638
668,7/1/2021,GRSP,GS-WP,706698,4329774,2648
901,7/23/2021,GRSP,DS-WP,706701,4329733,2670
771,7/13/2021,GRSP,GS-BP,706701,4329734,2660
555,6/21/2021,GRSP,GS-WP,706701,4329743,2638
919,7/23/2021,GRSP,DS-WP,706723,4329725,2670
565,6/21/2021,GRSP,GS-WP,706732,4329816,2638
610,6/28/2021,GRSP,KS-DD,708166,4329866,2645
604,6/28/2021,GRSP,KS-DD,708171,4329817,2645
609,6/28/2021,GRSP,KS-DD,708216,4329869,2645
478,6/15/2021,GRSP,KS-DD,708260,4330009,2632
482,6/15/2021,GRSP,YS-KD,708307,4328087,2632
159,5/24/2021,GRSP,YS-KD,708322,4328121,2610
606,6/28/2021,GRSP,KS-DD,708370,4329694,2645
475,6/15/2021,GRSP,YS-AA,708382,4328217,2632
720,7/7/2021,GRSP,GS-DO,709573,4328099,2654
320,6/3/2021,GRSP,OP-SW,709595,4328193,2620
332,6/3/2021,GRSP,GS-DR,709621,4328070,2620
326,6/3/2021,GRSP,SB-BD,709637,4328015,2620
312,6/3/2021,GRSP,DD-DS,709769,4328094,2620
603,6/26/2021,GRSP,DD-DS,709769,4328050,2643
602,6/26/2021,GRSP,DD-DS,709774,4328079,2643
957,7/27/2021,GRSP,DD-DS,709775,4328026,2674
601,6/26/2021,GRSP,DD-DS,709780,4328070,2643
947,7/27/2021,GRSP,DD-DS,709783,4328070,2674
723,7/7/2021,GRSP,GS-RY,709832,4327987,2654
956,7/27/2021,GRSP,GS-RY,709832,4327932,2674
820,7/19/2021,GRSP,RY-GS,709848,4327979,2666
819,7/19/2021,GRSP,RY-GS,709850,4328032,2666
315,6/3/2021,GRSP,BG-SP,709854,4327994,2620
318,6/3/2021,GRSP,GS-RY,709854,4327994,2620
952,7/27/2021,GRSP,GS-RY,709854,4327986,2674
955,7/27/2021,GRSP,GS-RY,709874,4327920,2674
719,7/7/2021,GRSP,GS-RY,709884,4327914,2654
717,7/7/2021,GRSP,GS-RY,709889,4327922,2654
718,7/7/2021,GRSP,GS-RY,709907,4327937,2654
390,6/8/2021,GRSP,GS-RY,709913,4327931,2625
377,6/8/2021,GRSP,GS-RY,709915,4327871,2625
