,date,species,bands,sx,sy
216,5/30/2014,GRSP,AA-AS,712179,4330142
256,6/4/2014,GRSP,AA-BS,713708,4335407
268,6/4/2014,GRSP,AA-BS,713708,4335407
311,6/10/2014,GRSP,AA-BS,713708,4335407
549,7/17/2014,GRSP,AA-BS,713567,4335435
3293,8/7/2017,GRSP,AA-DS,707053,4329913
4189,6/1/2019,GRSP,AA-KS,712739,4332526
3461,5/25/2018,GRSP,AA-PS,711231,4331802
740,5/19/2015,GRSP,AA-SA,711069,4330959
1766,5/19/2016,GRSP,AA-SAx,712518,4329269
3582,6/6/2018,GRSP,AA-SB,714053,4335596
907,6/9/2015,GRSP,AA-SD,712327,4329416
3183,7/14/2017,GRSP,AA-SDx,706778,4329873
3055,7/1/2017,GRSP,AA-SG,706748,4329682
1066,6/26/2015,GRSP,AA-SK,713102,4334449
2568,7/28/2016,GRSP,AA-SW,711753,4329864
2864,6/8/2017,GRSP,AA-SW,711798,4329864
274,6/6/2014,GRSP,AA-WS,708297,4328848
220,5/31/2014,GRSP,AB-AS,711143,4330554
277,6/6/2014,GRSP,AB-BS,708508,4329273
4619,5/19/2020,GRSP,AB-KS,708487,4328767
2327,7/1/2016,GRSP,AB-SB,712048,4328591
2362,7/5/2016,GRSP,AB-SB,712048,4328591
585,7/24/2014,GRSP,AB-SG,711810,4330049
548,7/17/2014,GRSP,AB-SW,713693,4335145
4174,5/29/2019,GRSP,AB-WS,707950,4330184
1001,6/20/2015,GRSP,AD-AS,711663,4329614
866,6/4/2015,GRSP,AG-AS,709894,4329239
140,5/21/2014,GRSP,AG-SR,711472,4330470
151,5/21/2014,GRSP,AG-SR,711472,4330470
257,6/4/2014,GRSP,AG-SR,711472,4330470
276,6/6/2014,GRSP,AG-SR,711472,4330470
155,5/23/2014,GRSP,AG-SR,711441,4330487
4274,6/11/2019,GRSP,AG-SY,711104,4328465
4643,5/21/2020,GRSP,AG-SY,712755,4329225
4641,5/21/2020,GRSP,AG-SY,712774,4329229
4640,5/21/2020,GRSP,AG-SY,712775,4329239
4814,6/24/2020,GRSP,AG-SY,712756,4329265
4808,6/24/2020,GRSP,AG-SY,712768,4329291
2585,8/2/2016,GRSP,AK-AS,711986,4328489
148,5/21/2014,GRSP,AK-KS,711472,4330470
266,6/4/2014,GRSP,AK-KS,711472,4330470
270,6/6/2014,GRSP,AK-KS,711472,4330470
282,6/8/2014,GRSP,AK-KS,711472,4330470
2517,7/26/2016,GRSP,AK-SB,713537,4335496
175,5/28/2014,GRSP,AK-SW,712482,4330070
227,6/1/2014,GRSP,AK-SW,712482,4330070
