,Point,PlotName,date,PositionX,PositionY,X.LiveGrass,X.LiveForb,X.Shrub,X.DeadGrass,X.OtherDead,X.Litter,X.Bare,Observer,X.DeadAndLitter,gr,fire,burnyr,elev,soil,slope,Spring,BrLagOne,BrLagTwo,time,month,year,month,year,mgmt
2383,veg_K2A_07,K2A,5/25/2022,710898,4330651,0.5,0.25,0,0,0,5,0.2,MDR,0.05,ungr,2,1,413.4640198,4625,0.050271695,142.2,256.5,384.1,2976,5,2022,5,2022,ungr2
2384,veg_K2A_03,K2A,5/25/2022,710720,4330517,0.45,0.001,0,5,0,10,0.4,MDR,0.15,ungr,2,1,406.9810181,4530,0.190868682,142.2,256.5,384.1,2976,5,2022,5,2022,ungr2
2385,veg_K2A_04,K2A,5/25/2022,710570,4330556,0.55,0.1,0,0,5,5,0.25,MDR,0.05,ungr,2,1,390.7850037,4590,0.294553239,142.2,256.5,384.1,2976,5,2022,5,2022,ungr2
2386,veg_K2A_02,K2A,5/25/2022,710624,4330748,0.7,0.05,0,0,0,5,0.2,MDR,0.05,ungr,2,1,407.710022,4530,0.140741358,142.2,256.5,384.1,2976,5,2022,5,2022,ungr2
2387,veg_K2A_06,K2A,5/25/2022,710407,4330657,0.6,0.1,0,0,0,5,0.25,MDR,0.05,ungr,2,1,403.9570313,4530,0.137587897,142.2,256.5,384.1,2976,5,2022,5,2022,ungr2
2388,veg_K2A_08,K2A,5/25/2022,710301,4330696,0.3,0.25,0,5,0,5,0.35,MDR,0.1,ungr,2,1,403.0600281,4530,0.144506929,142.2,256.5,384.1,2976,5,2022,5,2022,ungr2
2389,veg_K2A_09,K2A,5/25/2022,710166,4330630,0.5,0.05,0,0,5,10,0.25,MDR,0.1,ungr,2,1,405.9010315,4530,0.153641973,142.2,256.5,384.1,2976,5,2022,5,2022,ungr2
2390,veg_K2A_10,K2A,5/25/2022,710187,4330469,0.25,0.55,0,0,0,5,0.15,MDR,0.05,ungr,2,1,380.8200073,4590,0.158112992,142.2,256.5,384.1,2976,5,2022,5,2022,ungr2
2391,veg_N1B_06,N1B,5/25/2022,709652,4328648,0.2,0.1,0,10,5,15,0.4,ECB,0.25,bison,1,1,403.0680237,4530,0.146411627,142.2,256.5,384.1,2976,5,2022,5,2022,bison1
2392,veg_N1B_08,N1B,5/25/2022,709753,4329021,0.2,0.2,0,5,5,10,0.4,ECB,0.15,bison,1,1,385.8170166,4051,0.137024432,142.2,256.5,384.1,2976,5,2022,5,2022,bison1
2393,veg_N1B_09,N1B,5/25/2022,709500,4329035,0.2,0.25,0,5,0,10,0.4,ECB,0.15,bison,1,1,400.934021,4530,0.072594619,142.2,256.5,384.1,2976,5,2022,5,2022,bison1
2394,veg_N1B_04,N1B,5/25/2022,710096,4328963,0.2,0.25,0,5,5,5,0.4,ECB,0.1,bison,1,1,412.3160095,4530,0.038354098,142.2,256.5,384.1,2976,5,2022,5,2022,bison1
2395,veg_N1B_10,N1B,5/25/2022,710013,4329021,0.3,0.4,0,5,5,10,0.1,NAW,0.15,bison,1,1,413.0270081,4530,0.022534949,142.2,256.5,384.1,2976,5,2022,5,2022,bison1
2396,veg_C3SA_09,C3SA,5/25/2022,710921,4330765,0.55,0.1,0,20,10,5,0.001,ENS,0.25,cattle,3,0,414.8280334,4530,0.014872667,142.2,256.5,384.1,2976,5,2022,5,2022,cattle3
2397,veg_C3SA_03,C3SA,5/25/2022,710723,4331919,0.2,0.05,0,75,0,0,0.001,ENS,0.75,cattle,3,0,380.7180176,4590,0.249622457,142.2,256.5,384.1,2976,5,2022,5,2022,cattle3
2398,veg_C3SA_05,C3SA,5/25/2022,710892,4331946,0.65,0.15,0,15,5,0,0.001,ENS,0.15,cattle,3,0,377.388031,4590,0.109923487,142.2,256.5,384.1,2976,5,2022,5,2022,cattle3
2399,veg_C3SA_06,C3SA,5/25/2022,710853,4332330,0.4,0.1,0,40,5,5,0.001,ENS,0.45,cattle,3,0,363.0270081,4590,0.363763488,142.2,256.5,384.1,2976,5,2022,5,2022,cattle3
2400,veg_C3A_07,C3A,5/26/2022,712508,4330115,0.3,0.15,0,30,15,10,0.001,ECB,0.4,cattle,3,1,419.9530334,4783,0.022949864,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2401,veg_C3A_05,C3A,5/26/2022,712704,4330286,0.25,0.15,0,20,15,10,0.15,ECB,0.3,cattle,3,1,415.2400208,4625,0.039915715,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2402,veg_C3A_01,C3A,5/26/2022,712796,4330387,0.3,0.05,0,20,5,25,0.15,ECB,0.45,cattle,3,1,420.6090088,4625,0.025222704,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2403,veg_C3A_04,C3A,5/26/2022,712528,4330322,0.15,0.25,0,20,5,20,0.15,ECB,0.4,cattle,3,1,419.315033,4783,0.066082992,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2404,veg_C3A_06,C3A,5/26/2022,711707,4329788,0.3,0.15,0,30,8,7,0.1,ECB,0.37,cattle,3,1,439.5000305,4530,0.034745453,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2405,veg_C3A_09,C3A,5/26/2022,712006,4329880,0.2,0.15,0,50,10,5,0.001,ECB,0.55,cattle,3,1,426.4460144,4530,0.133083701,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2406,veg_C3A_08,C3A,5/26/2022,712320,4329974,0.3,0.2,0,30,5,5,0.1,ECB,0.35,cattle,3,1,420.8600159,4530,0.094164344,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2407,veg_C3A_10,C3A,5/26/2022,712402,4330097,0.15,0.15,0,30,5,10,0.25,ECB,0.4,cattle,3,1,427.5430298,4530,0.132567824,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2408,veg_C3A_02,C3A,5/26/2022,712336,4330265,0.2,0.25,0,30,10,15,0.001,ECB,0.45,cattle,3,1,425.4490051,4783,0.042437855,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2409,veg_C3A_03,C3A,5/26/2022,712147,4330090,0.25,0.15,0,25,5,10,0.2,ECB,0.35,cattle,3,1,439.9610291,4530,0.08056464,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2410,veg_C3C_10,C3C,5/26/2022,712545,4329247,0.15,0.4,0,5,5,15,0.2,MDR,0.2,cattle,3,0,418.8270264,4530,0.077649342,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2411,veg_C3C_04,C3C,5/26/2022,712090,4328650,0.25,0.15,0,50,0,5,0.05,MDR,0.55,cattle,3,0,434.9960327,4530,0.362500529,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2412,veg_C3C_01,C3C,5/26/2022,711690,4329173,0.3,0.05,0,60,0,0,0.05,MDR,0.6,cattle,3,0,437.1240234,4530,0.238366947,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2413,veg_C3C_09,C3C,5/26/2022,711986,4329033,0.4,0.2,0,25,5,5,0.05,MDR,0.3,cattle,3,0,424.7600098,4530,0.174659774,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2414,veg_C3C_05,C3C,5/26/2022,711720,4328737,0.55,0.15,0,15,5,5,0.05,MDR,0.2,cattle,3,0,440.5210266,4530,0.01625061,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2415,veg_C3C_07,C3C,5/26/2022,711781,4328406,0.45,0.15,0,20,5,5,0.1,MDR,0.25,cattle,3,0,440.5350342,4530,0.158966042,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2416,veg_C3C_08,C3C,5/26/2022,712102,4329299,0.65,0.15,0,10,5,5,0.001,MDR,0.15,cattle,3,0,430.2770081,4530,0.100332416,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2417,veg_C3C_06,C3C,5/26/2022,712311,4329294,0.5,0.1,0,20,5,10,0.05,MDR,0.3,cattle,3,0,419.6040344,4530,0.23094852,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2418,veg_C3C_02,C3C,5/26/2022,712410,4329203,0.4,0.15,0,25,5,10,0.05,MDR,0.35,cattle,3,0,414.8370056,4530,0.095480324,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2419,veg_C3SA_07,C3SA,5/26/2022,710865,4331535,0.2,0.15,0,40,0,20,0.05,ENS,0.6,cattle,3,0,386.7970276,4590,0.167112018,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2420,veg_C3SA_01,C3SA,5/26/2022,710971,4331014,0.4,0.25,0,17,15,3,0.001,ENS,0.2,cattle,3,0,408.5840149,4530,0.135764341,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2421,veg_C3SA_10,C3SA,5/26/2022,711150,4331037,0.5,0.1,15,15,0,10,0.001,ENS,0.25,cattle,3,0,409.6520081,4530,0.128458032,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2422,veg_C3SA_04,C3SA,5/26/2022,711150,4331236,0.6,0.2,0,10,2,8,0.001,ENS,0.18,cattle,3,0,405.7710266,4590,0.120855815,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2423,veg_C3SB_01,C3SB,5/26/2022,711214,4330980,0.05,0.2,0,0,10,10,0.55,ENS,0.1,cattle,3,1,406.8630066,4530,0.287275147,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2424,veg_C3SA_08,C3SA,5/26/2022,711177,4331440,0.2,0.2,0,0,50,10,0.001,ENS,0.1,cattle,3,0,386.960022,4590,0.167203343,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2425,veg_C3SB_06,C3SB,5/26/2022,711240,4330695,0.25,0.45,0,0,0,15,0.15,ENS,0.15,cattle,3,1,408.3660278,4530,0.118840572,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2426,veg_C3SB_03,C3SB,5/26/2022,711352,4330696,0.25,0.55,0,0,3,7,0.1,ENS,0.07,cattle,3,1,407.0430298,4530,0.119784488,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2427,veg_C3SB_10,C3SB,5/26/2022,711347,4330511,0.17,0.03,0,0,0,20,0.6,ENS,0.2,cattle,3,1,425.4240112,4530,0.252771849,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
